Student Number,Name,Section,Grade,Date,Family,FD,Friends,FFD,Personal &  Health,PD,Academic / School,AD,Career,CD,Remarks,Recommendations,Others
,Adrian C. Reyes,Gabriel,Grade 7,2024-01-15,parental pressure,,incompatibilities,,physical disabilities,,failing marks,,undecided,,,for follow-up,
,Althea M. Cruz,James,Grade 10,2024-01-16,lack of quality time,,mistrust,,stress,,misbehavior,,no identified career,,,conference with parent/guardian,
,Bianca R. Garcia,Vincent,Grade 8,2024-01-17,financial discomfort,,bullying,,hospitalization,,transition to school life,,confusion,,,conference with adviser/subject teacher,
,Carlos D. Bautista,Ignatius,Grade 9,2024-01-18,sibling rivalry,,peer pressure,,gender confusion,,learning difficulties,,parents choice,,,for assessment,
,Daniela P. Santos,Gabriel,Grade 7,2024-01-19,parent-child misunderstanding,,adjustment difficulties,,poor health,,teacher/s,,change of interest,,,for follow-up,
,Elijah J. Mendoza,James,Grade 10,2024-01-20,sibling rivalry,,boy-girl relationship,,low self-esteem,,laziness,,undecided,,,conference with parent/guardian,
,Faith E. Aquino,Ignatius,Grade 9,2024-01-21,parental pressure,,incompatibilities,,psychological disturbances,,difficult subjects,,no identified career,,,conference with adviser/subject teacher,
,Gabriel T. Castillo,Vincent,Grade 8,2024-01-22,lack of quality time,,mistrust,,physical disabilities,,failing marks,,confusion,,,for assessment,
,Hannah L. Perez,Gabriel,Grade 7,2024-01-23,parent-child misunderstanding,,bullying,,stress,,misbehavior,,parents choice,,,for follow-up,
,Ivan A. Delgado,James,Grade 10,2024-01-24,financial discomfort,,peer pressure,,hospitalization,,transition to school life,,change of interest,,,conference with parent/guardian,
,Jasmine K. Torres,Ignatius,Grade 9,2024-01-25,lack of quality time,,adjustment difficulties,,gender confusion,,learning difficulties,,undecided,,,conference with adviser/subject teacher,
,Kiana D. Morales,Vincent,Grade 8,2024-01-26,sibling rivalry,,boy-girl relationship,,poor health,,teacher/s,,no identified career,,,for assessment,
,Luis G. Ramos,Gabriel,Grade 7,2024-01-27,parent-child misunderstanding,,incompatibilities,,low self-esteem,,laziness,,confusion,,,for follow-up,
,Maria T. Villanueva,James,Grade 10,2024-01-28,financial discomfort,,mistrust,,psychological disturbances,,difficult subjects,,parents choice,,,conference with parent/guardian,
,Nathaniel P. Garcia,Ignatius,Grade 9,2024-01-29,parental pressure,,bullying,,physical disabilities,,failing marks,,change of interest,,,conference with adviser/subject teacher,
,Olivia F. Mendoza,Vincent,Grade 8,2024-01-30,sibling rivalry,,peer pressure,,stress,,misbehavior,,undecided,,,for assessment,
,Patrick V. Reyes,Gabriel,Grade 7,2024-01-31,lack of quality time,,adjustment difficulties,,hospitalization,,transition to school life,,no identified career,,,for follow-up,
,Quincy L. Herrera,James,Grade 10,2024-02-01,parent-child misunderstanding,,boy-girl relationship,,gender confusion,,learning difficulties,,confusion,,,conference with parent/guardian,
